1633359352,light,22
1631313539,door,39
1622853900,fan,40
1631143709,door,49
1642997637,fan,51
1656064459,fan,30
1609931258,light,6
1635786054,door,7
1633409999,light,89
1622222637,light,77
1616934977,light,51
1607414685,light,47
1596438488,door,45
1647001640,light,32
1645133908,light,14
1596043334,fan,51
1624834512,door,3
1644573133,fan,58
1632445962,fan,37
1657666979,door,52
1649552866,door,55
1642558254,fan,40
1610812866,door,41
1631978049,fan,84
1625445178,light,5
1613051705,door,74
1636713698,light,41
1628910345,fan,57
1655440312,fan,12
1597567419,fan,17
1605138640,fan,94
1632598468,door,43
1639021716,door,9
1645942459,fan,23
1639618813,light,50
1612972475,light,96
1608143572,fan,65
1628018051,light,57
1645308371,door,72
1654337209,light,54
1632946279,fan,8
1597941883,light,90
1654359048,light,60
1619169692,fan,39
1652435097,light,41
1638427711,light,15
1624041359,door,21
1596169741,fan,15
1618063382,light,76
1635866734,door,14
1644685293,fan,100
1621325716,door,5
1612142768,fan,79
1609732171,door,70
1631973437,light,96
1600805842,light,64
1644338200,door,49
1637545712,door,100
1631183541,light,16
1647388445,fan,95
1650256032,fan,5
1635663995,fan,12
1631320002,fan,96
1626716474,light,79
1596661563,door,24
1624088374,light,63
1636412005,door,3
1604709537,light,50
1643693443,light,19
1598037746,fan,75
1631040356,light,73
1617145836,door,84
1626996402,light,50
1636416119,light,75
1619010843,fan,91
1610335014,light,71
1618588753,light,95
1604449854,fan,14
1638210687,light,46
1602017204,light,10
1628080965,light,8
1628858295,fan,26
1654638610,fan,52
1656535496,door,81
1600100248,door,6
1624821043,fan,73
1605059417,light,11
1627110908,door,43
1596395867,light,13
1620631332,fan,51
1629852950,fan,42
1601825303,door,98
1633862394,light,35
1611275037,fan,34
1646573776,light,12
1621543498,fan,95
1655157215,door,60
1624275921,light,20
1605755293,light,33
1641320139,fan,98
